original,translated
Zero,Nulo
One,Unu
Two,Du
Three,Tri
Four,Kvar
Five,Kvin
Six,Ses
Seven,Sep
Eight,Ok
Nine,Naŭ
Ten,Dek
Eleven,Dek unu
Tweleve,Dek du
Thirteen,Dek tri
Fourteen,Dek kvar
Fifteen,Dek kvin
Sixteen,Dek ses
Seventeen,Dek sep
Eighteen,Dekok
Nineteen,Dek naŭ
Twenty,Dudek
Twenty one,Dudek unu
Twenty two,Dudek du
Twenty three,Dudek tri
Twenty four,Dudek kvar
Twenty five,Dudek kvin
Twenty six,Dudek ses
Twenty seven,Dudek sep
Twenty eight,Dudek ok
Twenty nine,Dudek naŭ
Thirty,Tri dek
Forty,Kvardek
Fifty,Kvindek
Sixty,Sesdek
Seventy,Sepdek
Eighty,Okdek
Ninty,Naŭdek
Hundered,Cent
