translated,original,translated_alternatives
Reisepass,passport,
der Koffer,suitcase,
der Rucksack,backpack,
das Gepäck,baggage,
der flugschein,airplane ticket,
der Zoll,customs,
die Fahrkarte,ticket,
die Reservierung,reservation,
Rückfahrkarte,round trip ticket,
einfache Fahrkarte,one-way ticket,
Platz,seat,Sitz
Bahnhof,train station,
der Zug,train,
S-Bahn,local train,
der Flug,flight,
Flughafen,airport,
Ich möchte eine Fahrkarte reservieren.,I would like to reserve a ticket.,
Wir möchten zwei Flugtickets nach New York kaufen.,We want to buy two plane tickets to New York.,
Wie viel kostet die Fahrkarte?,How much does the ticket cost?,
Gibt es eine Studenten-ermäßigung?,Is there a discount for students?,
Wir möchten bar bezahlen.,We want to pay cash.,
Dieses ist mein Handgepäck.,This is my carry-on bag.,
Wann kommen wir in Berlin an?,When do we arrive in Berlin?,
die Dusche,shower,
das Einzelzimmer,single room,
die Klimaanlage,air conditioning,
die Rezeption,reception desk,
die Schlüssel,key,
das Bett,bed,
die Betttücher,sheets,
das Kissen,pillow,
Welches Hotel ist am billigsten?,Which hotel is the cheapest?,
Wie weit ist das Hotel vom Bahnhof entfernt?,How far is the hotel from the train station?,
Haben Sie noch ein Zimmer frei?,Are there rooms available?,
Bis wann muss man sich abmelden?,What time is checkout?,
Ich möchte ein Zimmer mit Dusche.,I’d like a room with a shower.,
Ich möchte ein Einzelbett.,I’d like a single bed.,
Kann ich bitte noch eine Decke haben?,"Can I have another blanket, please?",
Herein!,Come in!,
reservieren,to reserve,
absagen,to cancel,
ankommen,to arrive,
mieten,to rent,
abfahren,to leave,
bezahlen,to pay,
abholen,to pick up someone [from the airport],
