original,translated
der Füller,pen
der Bleistift,pencil
der Schreibtisch,desk
der Stuhl,chair
der Computer,computer
der Bildschirm,screen
die Tastatur,keyboard
die Maus,mouse
das Heft,notebook
die Website,Web site
die E-Mail,e–mail
das Telefon,telephone
das Dokument,document
die Akten,files
das Vorstellungsgespräch,interview
die Tagesordnung,agenda
das Protokoll,minutes
Terminkalender,appointment book
Termin,appointment
der Vorsitzende (M)/die Vorsitzende (F),chairperson
der Verkauf,sales
das Marketing,marketing
die Finanzabteilung,finance
die Buchhaltung,accounting
die Personalabteilung,human resources
die Rechtsabteilung,legal
die Forschungs- und Entwicklungsabteilung,research and development
die technische Unterstützung,technical support
der Generaldirektor/die Generaldirektorin,chief executive officer [M/F]
der Finanzleiter/die Finanzleiterin,chief financial officer [M/F]
der Manager/die Managerin,manager [M/F]
der Bürovorsteher/die Bürovorsteherin,supervisor [M/F]
Der Drucker funktioniert nicht.,The printer isn’t working.
Schicken Sie mir eine E-Mail.,Send me an e–mail. [Formal]
Kann ich einen Füller und einen Notizblock borgen?,May I borrow a pen and notepad?
Können Sie den Anrufbeantworter reparieren?,Can you fix the answering machine? [Formal]
