original,translated,translated_alternatives
Ich habe einen Tisch reserviert.,I’ve reserved a table.,
Ich möchte bitte etwas Wasser.,I would like some water please.,
Haben Sie ein Tagesmenü?,What is today’s special?,
Ich hätte gern ein Glas Milch.,I’d like a glass of milk.,
"Zwei Spiegeleier mit Brot, bitte.","Two fried eggs with bread, please.",
Noch etwas Tee bitte.,"A little more tea, please.",
Bedienung!,Waiter!,
Ich möchte etwas Kaffee.,I’d like some coffee.,
Ich habe Durst,I am thirsty,
Sie sind durstig?,Are you thirsty?,
der Kellner/die Kellnerin [M/F],waiter/waitress,
heiß,warm,hot
kalt,cold,
klein,small,short
groß,big,"tall, large"
